Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,0.073880106764922,2.05E-05,195.707511344707,0.5388,30,887
Bliss,SS,-2.83343892881382,-4.79867914189807,-0.914642855464464,0.004,3,887
Bliss,SS,-2.24892236213158,-4.21413054944639,-0.318059186591551,0.02,6,887
Bliss,SS,-1.68742717007918,-3.64732615846061,0.252456987056881,0.0892,9,887
Bliss,SS,-1.17577938395556,-3.12480433495862,0.767389519140471,0.2366,12,887
Bliss,SS,-0.721832584185157,-2.667819807706,1.21689571525966,0.4728,15,887
Bliss,SS,-0.337350444054507,-2.28326056172573,1.6003462821807,0.7334,18,887
Bliss,SS,-0.0139105993894448,-1.95734082191864,1.94121618521231,0.986,21,887
Bliss,SS,0.24763010598621,-1.68891245347703,2.20300995794881,0.8054,24,887
Bliss,SS,0.461367261303132,-1.46971714856451,2.43519551502409,0.6518,27,887
Bliss,SS,0.630881468514444,-1.27774441715556,2.61396975507308,0.5388,30,887
Bliss,CI,1.37096621958498,1.23030443627575,1.52962761429528,0,3,888
Bliss,CI,2.56546513308751,1.81357128648923,3.60354005429852,0,6,888
Bliss,CI,4.80104663087401,2.53051695573127,9.00490728532859,0,9,888
Bliss,CI,7.67237841141295,2.93224944571021,19.7983277850547,0,12,888
Bliss,CI,9.8151424683127,2.65091407270098,35.6124247731937,4.00E-04,15,888
Bliss,CI,9.87317889343688,1.78377957662236,52.0228924445612,0.0082,18,888
Bliss,CI,7.89010240339262,0.912578069572406,63.3305816245461,0.0582,21,888
Bliss,CI,5.11209343757757,0.37212476164657,67.3950754208475,0.2164,24,888
Bliss,CI,2.83288101811299,0.112879605992763,66.1359445665969,0.5184,27,888
Bliss,CI,1.34472433339242,0.027369997017001,63.0359303839336,0.8844,30,888
Bliss,SS,-5.68697779830532,-7.66080224727636,-3.7357639009235,0,3,888
Bliss,SS,-5.34513956802154,-7.27283118895344,-3.37736589664804,0,6,888
Bliss,SS,-4.83479672630897,-6.77303656285543,-2.86119475033665,0,9,888
Bliss,SS,-4.18579370726911,-6.13316232786222,-2.20989977608185,0,12,888
Bliss,SS,-3.44919825335304,-5.39550319584193,-1.47230614751858,4.00E-04,15,888
Bliss,SS,-2.67629315308816,-4.61864065342269,-0.67641200234797,0.0082,18,888
Bliss,SS,-1.92203494291209,-3.86002791476131,0.0851230337412702,0.0582,21,888
Bliss,SS,-1.22895816879651,-3.17148102647356,0.744576546124977,0.2164,24,888
Bliss,SS,-0.642024453724029,-2.58445927691824,1.34499356496654,0.5184,27,888
Bliss,SS,-0.150836617866261,-2.110214266172,1.83246696695784,0.8844,30,888
Bliss,CI,1.07800748069756,0.937756069112829,1.2360799916681,0.286,3,889
Bliss,CI,1.14768635104889,0.715913219942159,1.82259801838597,0.5672,6,889
Bliss,CI,1.0377225364615,0.417413795252392,2.53522442658348,0.9374,9,889
Bliss,CI,0.751318931338661,0.181414800261295,3.02088855199614,0.6776,12,889
Bliss,CI,0.430011216576038,0.0583753110927807,3.06153677107967,0.3892,15,889
Bliss,CI,0.196997587743955,0.0144808700703431,2.54286522737254,0.2166,18,889
Bliss,CI,0.0755074695120141,0.00280294008978938,1.87954917966396,0.1128,21,889
Bliss,CI,0.0245983356256497,4.50E-04,1.23924090733736,0.0634,24,889
Bliss,CI,0.00700699320102428,6.02E-05,0.773616771104942,0.0386,27,889
Bliss,CI,0.00181369410770107,6.78E-06,0.464734109438006,0.0244,30,889
Bliss,SS,-1.07717743625893,-3.03939612738911,0.921597553935994,0.286,3,889
Bliss,SS,-0.584342369732835,-2.54638153509382,1.41769755826054,0.5672,6,889
Bliss,SS,-0.0808251970102643,-2.03060764236708,1.90705121388566,0.9374,9,889
Bliss,SS,0.398382858334052,-1.54037772851903,2.37834131226872,0.6776,12,889
Bliss,SS,0.838870311648705,-1.11218988972061,2.82378314338592,0.3892,15,889
Bliss,SS,1.230622727536,-0.706977275733894,3.20799793807963,0.2166,18,889
Bliss,SS,1.556780296605,-0.380246251966966,3.54141608379686,0.1128,21,889
